F,deg_slope,df_den,df_num,layer,p,partial_eta2,q_bh,significant_q05,test
0.0945467088771707,,154,4,0,0.984068203239923,0.0024497426952659346,0.984068203239923,False,deg_categorical_controlling_model
0.21552718800133303,-0.24355363213499598,157,1,0,0.6431124159311394,0.0013709026828094655,0.7053491013438303,False,deg_linear_trend_controlling_model
0.08258304449925875,,150,4,0,0.9876445816660964,0.0021973754279070723,0.9876445816660964,False,model_by_deg_interaction
0.04481480203259122,,75,4,0,0.9961265308110763,0.002384423709657672,0.998697367234306,False,PT_deg_categorical
0.029504642386595167,-0.17849936883186676,78,1,0,0.8640638831335096,0.00037812161594279875,0.8902476371678584,False,PT_deg_linear_trend
1.814707797648676,,75,4,0,0.1348475823807029,0.08824379201033626,0.15393991485174055,False,IT_deg_categorical
3.407714888371078,-0.30860789543812417,78,1,0,0.0686862648165883,0.04185985189542021,0.07076766678072732,False,IT_deg_linear_trend
0.21553710118005054,,154,4,1,0.9294845799678514,0.005567199045095593,0.9576507793608167,False,deg_categorical_controlling_model
0.08593139166135813,0.16653721736883834,157,1,1,0.769801813880794,0.0005470342945423086,0.7931291415741514,False,deg_linear_trend_controlling_model
0.6342395930383184,,150,4,1,0.6388371896972513,0.01663176189709862,0.7483361812906533,False,model_by_deg_interaction
0.3957368853261976,,75,4,1,0.8110932283780425,0.020669712933823026,0.998697367234306,False,PT_deg_categorical
0.3345112058369771,0.6506510601408055,78,1,1,0.5646809599543072,0.004270291608228649,0.8826130115451122,False,PT_deg_linear_trend
1.7431871777417416,,75,4,1,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,1,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
0.3503582123770974,,154,4,2,0.843479043036536,0.009018146253938045,0.8961964832263195,False,deg_categorical_controlling_model
0.4757559367807984,-0.470372490115312,157,1,2,0.4913692748953129,0.0030211376598934725,0.6253311418898578,False,deg_linear_trend_controlling_model
0.3801480913616488,,150,4,2,0.8225630076753849,0.01003554923926873,0.8474891594231239,False,model_by_deg_interaction
0.3422519057773979,,75,4,2,0.8485964499064332,0.01792621988576592,0.998697367234306,False,PT_deg_categorical
0.2106171002106777,-0.6231683548274967,78,1,2,0.6475604872097702,0.002692947684338257,0.8826130115451122,False,PT_deg_linear_trend
1.7431871777417416,,75,4,2,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,2,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
0.48441613849752757,,154,4,3,0.7471564824425032,0.012425891842950124,0.819461948485326,False,deg_categorical_controlling_model
0.42586646811250056,-0.5558720643440732,157,1,3,0.5149785874387064,0.0027051873854463684,0.6253311418898578,False,deg_linear_trend_controlling_model
0.5431015192822397,,150,4,3,0.7043164059206148,0.014275952737632857,0.7483361812906533,False,model_by_deg_interaction
0.49930675213292136,,75,4,3,0.73628348944735,0.025938947233909954,0.998697367234306,False,PT_deg_categorical
0.21810797130732315,-0.7941675032850181,78,1,3,0.6417873097529491,0.0027884587976396975,0.8826130115451122,False,PT_deg_linear_trend
1.7431871777417416,,75,4,3,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,3,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
1.1169414598214102,,154,4,4,0.3506116215151392,0.0281935308144418,0.45849212044287435,False,deg_categorical_controlling_model
2.0352521584087087,-2.0952005359449406,157,1,4,0.15567429351169176,0.012797490687042628,0.264646298969876,False,deg_linear_trend_controlling_model
1.0402102859365252,,150,4,4,0.3885165912408097,0.026990259737012995,0.5080601577764435,False,model_by_deg_interaction
1.0770336036684296,,75,4,4,0.373968502911944,0.054321469625650695,0.7356539301278265,False,PT_deg_categorical
1.749284961427377,-3.872824446486759,78,1,4,0.18983150491204248,0.02193480433427662,0.5867519242735859,False,PT_deg_linear_trend
1.7431871777417416,,75,4,4,0.14941227029727758,0.0850617896876202,0.15393991485174055,False,IT_deg_categorical
3.6394768446484878,-0.3175766254031281,78,1,4,0.06010524396579484,0.04457986485600369,0.06386182171365702,False,IT_deg_linear_trend
1.0449695664685155,,154,4,5,0.38598271526780636,0.026424841842705077,0.48605230811501543,False,deg_categorical_controlling_model
0.8315791224251121,-2.0039324566631964,157,1,5,0.3632143953314738,0.005268775279629447,0.533724651801834,False,deg_linear_trend_controlling_model
0.9910141515987102,,150,4,5,0.414389763533368,0.02574663654471545,0.5218241466716486,False,model_by_deg_interaction
1.0457425359922732,,75,4,5,0.3894638453617905,0.05282663856083815,0.7356539301278265,False,PT_deg_categorical
1.3673994239793719,-4.974273792373294,78,1,5,0.2458202538991829,0.017228729099144934,0.6964907193810183,False,PT_deg_linear_trend
0.5747415942612403,,75,4,5,0.6817973431509867,0.02974123050793709,0.6817973431509867,False,IT_deg_categorical
0.8349184573890057,0.9664088790468992,78,1,5,0.363670034058302,0.01059071885563364,0.363670034058302,False,IT_deg_linear_trend
1.3802504816999301,,154,4,6,0.24332621266212262,0.03460987493880696,0.3596996187179204,False,deg_categorical_controlling_model
0.019615218908332305,-0.36418351569698393,157,1,6,0.888796569119147,0.00012492209257414003,0.888796569119147,False,deg_linear_trend_controlling_model
1.5140737722886697,,150,4,6,0.2009066174436311,0.03880839978736347,0.2969923910036286,False,model_by_deg_interaction
1.1051077158148104,,75,4,6,0.36049802769395,0.05565861095452936,0.7356539301278265,False,PT_deg_categorical
1.1401152882970642,-5.3032523351706695,78,1,6,0.28892157553469633,0.014406287938092762,0.7290157498498446,False,PT_deg_linear_trend
6.5645633329175,,75,4,6,0.00013852644483273565,0.25931963536504554,0.00018114996631973123,True,IT_deg_categorical
10.866630839522731,4.574885303776703,78,1,6,0.0014754056875617193,0.1222802162843999,0.0027975131933417794,True,IT_deg_linear_trend
1.3344279544549742,,154,4,7,0.259645951052735,0.03349936281200533,0.3678317639913746,False,deg_categorical_controlling_model
0.4480120092882717,3.207027836810985,157,1,7,0.5042636470060523,0.0028454599303663636,0.6253311418898578,False,deg_linear_trend_controlling_model
3.0574758171830325,,150,4,7,0.01862545840391016,0.07538624521321094,0.0422177057155297,True,model_by_deg_interaction
2.0575670322706534,,75,4,7,0.09486464855121952,0.09888551742159732,0.268783170895122,False,PT_deg_categorical
0.0021192524977567523,0.43444245220113686,78,1,7,0.9633997423860345,2.7169165633777192e-05,0.9633997423860345,False,PT_deg_linear_trend
7.671372612021075,,75,4,7,3.08553651873096e-05,0.29034723989058775,4.37117673486886e-05,True,IT_deg_categorical
11.315634841894408,5.979613221420831,78,1,7,0.0011939187307954532,0.12669265422482015,0.002537077302940338,True,IT_deg_linear_trend
3.853904275408491,,154,4,8,0.00516559807335647,0.09099289289479139,0.02304869937968366,True,deg_categorical_controlling_model
2.1191664461207234,-8.268828550206084,157,1,8,0.14746242164931572,0.013318109272765034,0.2638801229514071,False,deg_linear_trend_controlling_model
4.953109025659599,,150,4,8,0.000887475762272155,0.11667246850320977,0.00431059655960761,True,model_by_deg_interaction
4.501889948250374,,75,4,8,0.0025844642187722966,0.19361393668513927,0.04393589171912904,True,PT_deg_categorical
6.668640878330919,-27.013037390146334,78,1,8,0.011683744934509872,0.07876163841951563,0.0913332645987129,False,PT_deg_linear_trend
5.56204963540675,,75,4,8,0.0005630745830771926,0.2287774876580741,0.0007090568823935018,True,IT_deg_categorical
9.581538755754604,10.475380289734165,78,1,8,0.0027294992232385186,0.10940135206433613,0.003866790566254568,True,IT_deg_linear_trend
0.7140225917082179,,154,4,9,0.5835385184471562,0.01820834855792626,0.6613436542401103,False,deg_categorical_controlling_model
2.4837954236573445,9.167109868213778,157,1,9,0.11703726587754168,0.015573967355487868,0.23407453175508336,False,deg_linear_trend_controlling_model
2.69471256827716,,150,4,9,0.03310218842570812,0.06704146879268659,0.06252635591522644,False,model_by_deg_interaction
0.765133552711342,,75,4,9,0.5512641770623794,0.03920719018625614,0.9132626237107977,False,PT_deg_categorical
0.052785666004046404,2.4940326387728646,78,1,9,0.8188864508386381,0.0006762816413743609,0.8826130115451122,False,PT_deg_linear_trend
9.772619888779113,,75,4,9,2.0386740879754188e-06,0.3426270071573507,7.188507491072486e-06,True,IT_deg_categorical
14.569572939934412,15.840187097654702,78,1,9,0.00026918383266034534,0.1573905169616389,0.0008320227554956129,True,IT_deg_linear_trend
3.1270707203400767,,154,4,10,0.016597482104480997,0.07512108505900965,0.05643143915523539,False,deg_categorical_controlling_model
2.216355224392732,7.623799778254398,157,1,10,0.13856104590926296,0.01392039920314151,0.26172642005083,False,deg_linear_trend_controlling_model
3.686910521766358,,150,4,10,0.006802506537822772,0.08951655938888421,0.021025929298724932,True,model_by_deg_interaction
0.7454808455873428,,75,4,10,0.5640739734684339,0.038238648817737524,0.9132626237107977,False,PT_deg_categorical
0.8172677581891932,-7.241154202443715,78,1,10,0.3687639097778972,0.010369146018821216,0.7290157498498446,False,PT_deg_linear_trend
9.729673867074615,,75,4,10,2.151397024628952e-06,0.3416357193023584,7.188507491072486e-06,True,IT_deg_categorical
14.148401895746511,22.488753758952516,78,1,10,0.00032508664909808256,0.15353930838381247,0.0009210788391112338,True,IT_deg_linear_trend
2.8124387104287556,,154,4,11,0.027388763429465238,0.06807728612057934,0.07163215050783216,False,deg_categorical_controlling_model
3.9241290038725984,12.172780272517441,157,1,11,0.049344582009525184,0.02438496344931695,0.13980964902698803,False,deg_linear_trend_controlling_model
3.1492267305565536,,150,4,11,0.016091700141462696,0.07747322603283961,0.041440145289009675,True,model_by_deg_interaction
0.17134747699104297,,75,4,11,0.9523965526888493,0.009055775610030254,0.998697367234306,False,PT_deg_categorical
0.21372573880087908,-4.4869444874764755,78,1,11,0.645149757375209,0.002732586087442353,0.8826130115451122,False,PT_deg_linear_trend
9.758463863829972,,75,4,11,2.0751460504545283e-06,0.342300585203084,7.188507491072486e-06,True,IT_deg_categorical
16.398488362759018,28.83250503251136,78,1,11,0.00012016583172022776,0.17371558217905064,0.0008320227554956129,True,IT_deg_linear_trend
2.5722916736780292,,154,4,12,0.04002295600296438,0.06262839420101148,0.09071870027338592,False,deg_categorical_controlling_model
1.3012929124957224,13.61158476843357,157,1,12,0.25571430555632557,0.008220355554613434,0.3951948358597759,False,deg_linear_trend_controlling_model
7.563476178351102,,150,4,12,1.4081536894326311e-05,0.16784049566918818,0.0004787722544070946,True,model_by_deg_interaction
4.876402740483953,,75,4,12,0.0015019040441051758,0.2063963267725143,0.04393589171912904,True,PT_deg_categorical
0.04602259601400587,-4.752546427508663,78,1,12,0.8306945991012821,0.0005896853482493335,0.8826130115451122,False,PT_deg_linear_trend
7.907536264286357,,75,4,12,2.2539043360863605e-05,0.2966341745122277,3.331858583779837e-05,True,IT_deg_categorical
13.865434664851007,31.975715964375787,78,1,12,0.00036926753053199724,0.1509320095793997,0.0009657766183144543,True,IT_deg_linear_trend
2.8342895617817825,,154,4,13,0.02645581188974174,0.06856993532078033,0.07163215050783216,False,deg_categorical_controlling_model
3.3217160918657718,13.793542391349241,157,1,13,0.07027303768539062,0.020719065219850806,0.14933020508145506,False,deg_linear_trend_controlling_model
2.2328127215926776,,150,4,13,0.06813561610894256,0.056195687358908335,0.11583054738520235,False,model_by_deg_interaction
0.27931433458954774,,75,4,13,0.8904957473674829,0.014678108190258785,0.998697367234306,False,PT_deg_categorical
0.17301758892846214,-4.870418673650352,78,1,13,0.6785860130438354,0.002213264810094351,0.8826130115451122,False,PT_deg_linear_trend
6.927219588000665,,75,4,13,8.423194405931766e-05,0.2697807511541419,0.00011455544392067201,True,IT_deg_categorical
12.460265784290732,32.45750345634885,78,1,13,0.0007009224221112493,0.13774297119580842,0.0015887574901188315,True,IT_deg_linear_trend
1.824751725020916,,154,4,14,0.12681055679279812,0.04525140631898012,0.20358901729397436,False,deg_categorical_controlling_model
1.9168345279631003,10.895042178810378,157,1,14,0.16817061519609727,0.01206187207073907,0.2722762341270146,False,deg_linear_trend_controlling_model
2.7467450423877917,,150,4,14,0.030492146132956737,0.06824763193880462,0.06252635591522644,False,model_by_deg_interaction
0.24672718006340125,,75,4,14,0.9107883717984205,0.01298787826580651,0.998697367234306,False,PT_deg_categorical
0.4587256633051344,-8.973764093566713,78,1,14,0.5002240851138219,0.00584671315302383,0.8826130115451122,False,PT_deg_linear_trend
9.551791776481545,,75,4,14,2.6906306189617064e-06,0.3374977758270052,7.188507491072486e-06,True,IT_deg_categorical
14.875699357373854,30.76384845118748,78,1,14,0.0002348521208027221,0.1601678314166342,0.0008320227554956129,True,IT_deg_linear_trend
1.9410828488368606,,154,4,15,0.10637383947318768,0.047997796104826324,0.18083552710441905,False,deg_categorical_controlling_model
5.147932378471668,25.503942025487692,157,1,15,0.024636289596245742,0.031748368930513464,0.08376338462723552,False,deg_linear_trend_controlling_model
4.443442339925551,,150,4,15,0.002014375443754334,0.10593890467821429,0.006848876508764737,True,model_by_deg_interaction
2.432219636786373,,75,4,15,0.05474893310093288,0.11482364353178681,0.20682930282574644,False,PT_deg_categorical
0.7601753961040366,18.352411936232166,78,1,15,0.3859495146263883,0.009651773783907032,0.7290157498498446,False,PT_deg_linear_trend
9.840418632052478,,75,4,15,1.8728843091709633e-06,0.3441858882409112,7.188507491072486e-06,True,IT_deg_categorical
16.593253627972675,32.65547211474316,78,1,15,0.00011040663219048146,0.1754168821936557,0.0008320227554956129,True,IT_deg_linear_trend
1.799377769427104,,154,4,16,0.13173407001374812,0.04465026184082157,0.20358901729397436,False,deg_categorical_controlling_model
3.382536946739975,16.0291913711213,157,1,16,0.06777952855328281,0.0210904317336198,0.14933020508145506,False,deg_linear_trend_controlling_model
2.3657303753685612,,150,4,16,0.05543916965627261,0.059342456618586156,0.09920693517438256,False,model_by_deg_interaction
0.048341209789366006,,75,4,16,0.9955149954511741,0.00257156784473047,0.998697367234306,False,PT_deg_categorical
0.05128343964770514,-3.3686070493590154,78,1,16,0.8214372667285159,0.0006570479995676111,0.8826130115451122,False,PT_deg_linear_trend
9.736024100374047,,75,4,16,2.134335209950512e-06,0.3417824848447771,7.188507491072486e-06,True,IT_deg_categorical
16.76421943882221,35.42698979160157,78,1,16,0.00010251403825788891,0.17690452723714822,0.0008320227554956129,True,IT_deg_linear_trend
