layer,linear_p,linear_q_bh,linear_r,linear_r2,linear_significant_q05,linear_slope_per_deg,metric,model,spearman_p,spearman_q_bh,spearman_rho,spearman_significant_q05
0,5.404763240002934e-08,6.805998154077769e-08,0.563117867719697,0.3171017329451781,True,116.50977603761896,vector_response_norm,PT,1.2891316859934094e-07,1.3697024163679976e-07,0.5496472039023016,True
1,5.237980262631729e-08,6.805998154077769e-08,0.5635926299498153,0.31763665253374945,True,134.98290229415272,vector_response_norm,PT,1.9354829201755095e-07,1.9941339177565857e-07,0.5431402383964944,True
2,2.1009071479886936e-08,3.571542151580779e-08,0.5771114942615289,0.3330576768087746,True,201.7404974784174,vector_response_norm,PT,2.6448487941556076e-08,4.339882877724124e-08,0.5737612525414695,True
3,2.9193152825350155e-08,4.31550954809524e-08,0.5723130214514701,0.3275421945229109,True,257.03441570730837,vector_response_norm,PT,8.724297895299195e-08,9.88753761467242e-08,0.5557714067312965,True
4,3.8077819854114484e-08,5.17858350015957e-08,0.5683807928389836,0.32305672566827154,True,536.796674551354,vector_response_norm,PT,5.034337519363358e-08,6.339536135494599e-08,0.5641921856211647,True
5,2.4888101749046618e-08,3.846342997579932e-08,0.5746497230669051,0.33022230422087073,True,776.9239759640074,vector_response_norm,PT,1.4362314736328298e-08,4.034003758738975e-08,0.5825647941081498,True
6,5.979558639179396e-08,7.260892633289266e-08,0.5615819845820553,0.31537432540711985,True,876.6373513018258,vector_response_norm,PT,7.155876791106059e-08,8.689278960628785e-08,0.5588335081457941,True
7,3.061184079458489e-08,4.3366774458995264e-08,0.5716144997133445,0.32674313628253715,True,1080.6386125368456,vector_response_norm,PT,2.935803123166319e-08,4.339882877724124e-08,0.5722302018342207,True
8,1.929339345812063e-08,3.452501987242639e-08,0.5783416465291975,0.33447906011010325,True,1129.1001250031445,vector_response_norm,PT,3.3424164914840146e-08,4.7350900296023536e-08,0.5703163884501598,True
9,2.4107867926344765e-08,3.846342997579932e-08,0.5751140511013607,0.33075617177421857,True,1397.2856320861476,vector_response_norm,PT,2.935803123166319e-08,4.339882877724124e-08,0.5722302018342207,True
10,5.332273257289953e-09,1.9999541021349892e-08,0.5963166440707511,0.3555935399958029,True,1387.4752905208943,vector_response_norm,PT,1.779707540620136e-08,4.034003758738975e-08,0.5795026926936523,True
11,2.3924986635447423e-09,1.626899091210425e-08,0.6069857095033916,0.36843165154133567,True,1692.4580778510274,vector_response_norm,PT,4.489254291155752e-09,2.374404419443826e-08,0.5986408265342616,True
12,7.510210706471408e-09,1.9999541021349892e-08,0.5916355190459854,0.3500325873968126,True,1810.696628348042,vector_response_norm,PT,1.4754261168062715e-08,4.034003758738975e-08,0.5821820314313376,True
13,6.517064214298397e-09,1.9999541021349892e-08,0.5935832685905679,0.3523410967506622,True,1989.529598655502,vector_response_norm,PT,8.553864748613047e-09,3.6353925181605454e-08,0.5898372849675814,True
14,8.948808998716075e-09,1.9999541021349892e-08,0.5892109206468602,0.3471695090095206,True,2210.0144705833222,vector_response_norm,PT,1.4754261168062715e-08,4.034003758738975e-08,0.5821820314313376,True
15,8.477794653940837e-09,1.9999541021349892e-08,0.5899610873465398,0.3480540845831116,True,2210.20675950176,vector_response_norm,PT,1.779707540620136e-08,4.034003758738975e-08,0.5795026926936523,True
16,9.947631565033463e-09,1.9999541021349892e-08,0.5877373155664815,0.3454351521092938,True,2055.009862077764,vector_response_norm,PT,2.7149014023374855e-08,4.339882877724124e-08,0.5733784898646572,True
17,8.51881384267108e-09,1.9999541021349892e-08,0.5898941986404572,0.3479751655896672,True,2126.4386855023495,vector_response_norm,PT,2.4448605681856327e-08,4.339882877724124e-08,0.574909540571906,True
18,8.379632251078145e-09,1.9999541021349892e-08,0.5901224182995323,0.34824446857968816,True,2015.4741724401147,vector_response_norm,PT,4.106318809418558e-08,5.584593580809239e-08,0.5672542870356623,True
19,4.867032801852733e-09,1.9999541021349892e-08,0.5975519121386679,0.35706828770057825,True,1961.2275505393038,vector_response_norm,PT,2.0326708150127223e-08,4.0653416300254446e-08,0.5775888793095914,True
20,5.819698591330467e-09,1.9999541021349892e-08,0.595128178300211,0.3541775486069278,True,1848.564610149062,vector_response_norm,PT,1.687164148744085e-08,4.034003758738975e-08,0.5802682180472767,True
21,6.772841455661343e-09,1.9999541021349892e-08,0.5930559056650401,0.35171530724418093,True,1859.6625104928382,vector_response_norm,PT,2.5098680486274944e-08,4.339882877724124e-08,0.5745267778950939,True
22,9.999770510674946e-09,1.9999541021349892e-08,0.5876643222612116,0.3453493556587291,True,1728.3593860996357,vector_response_norm,PT,1.4362314736328298e-08,4.034003758738975e-08,0.5825647941081498,True
23,8.749300452761988e-10,1.4221146809599214e-08,0.6198410863959458,0.38420297238450635,True,1971.409789022211,vector_response_norm,PT,2.1781523221408828e-09,2.33962648029635e-08,0.6082098934545663,True
24,1.1443078154342428e-09,1.4221146809599214e-08,0.6164672030362356,0.3800318124193193,True,1796.8091209475133,vector_response_norm,PT,3.782126393087536e-09,2.374404419443826e-08,0.6009374025951347,True
25,1.2548070714352249e-09,1.4221146809599214e-08,0.6152991944449382,0.37859309868458985,True,1663.8110526620364,vector_response_norm,PT,2.7525017415251176e-09,2.33962648029635e-08,0.6051477920400689,True
26,2.328961114041845e-09,1.626899091210425e-08,0.6073372928196474,0.36885858724949816,True,1516.942425320319,vector_response_norm,PT,1.6199765230430178e-09,2.33962648029635e-08,0.6120375202226882,True
27,1.1254853291337392e-08,2.125916732808174e-08,0.5860085507771892,0.3434060215839815,True,1317.9574566993106,vector_response_norm,PT,4.88847968709023e-09,2.374404419443826e-08,0.5974925385038251,True
28,1.526363856426653e-07,1.7895300385691794e-07,0.5469592245931691,0.29916439336756084,True,1064.629695013235,vector_response_norm,PT,8.724297895299195e-08,9.88753761467242e-08,0.5557714067312965,True
29,1.9932652582653247e-07,2.259033959367368e-07,0.5426638335700638,0.29448403626495784,True,1032.4629084536207,vector_response_norm,PT,1.0359386075065083e-07,1.1361907308135898e-07,0.5530920679936113,True
30,2.689287260081924e-07,2.9495408658963036e-07,0.5377711547177587,0.28919781484647156,True,1037.3115743525204,vector_response_norm,PT,4.547885926518623e-08,5.947235442370506e-08,0.5657232363284136,True
31,9.75687476037023e-07,1.036667943289337e-06,0.51579271492213,0.26604212476674166,True,620.0419483696169,vector_response_norm,PT,1.9794884199605702e-08,4.0653416300254446e-08,0.5779716419864035,True
32,3.1005726893849133e-06,3.1945294375480926e-06,0.4946710324900869,0.24469943038480862,True,536.6997909047025,vector_response_norm,PT,2.7525017415251176e-09,2.33962648029635e-08,0.6051477920400689,True
33,0.000495916439879069,0.000495916439879069,0.3806294785394839,0.14487879993323946,True,438.4962435241221,vector_response_norm,PT,1.0087087286649732e-05,1.0087087286649732e-05,0.47156361783261536,True
0,4.987704931492857e-08,5.872623449259895e-08,0.5643327184284486,0.31847141708884263,True,2.6102404284922494,abs_rms_delta,PT,9.392551929149063e-08,1.1011957434174764e-07,0.5546231187008601,True
1,5.0090023537804986e-08,5.872623449259895e-08,0.5642683819380082,0.31839880685493793,True,2.9839785210323733,abs_rms_delta,PT,1.0615448706755755e-07,1.1642750194506312e-07,0.5527093053167992,True
2,2.349595395758026e-08,3.994312172788644e-08,0.5754883237517201,0.33118681077456463,True,4.296222091981499,abs_rms_delta,PT,2.2004977107216226e-08,4.6567037377537214e-08,0.5764405912791547,True
3,3.238930244423006e-08,4.787983839581835e-08,0.5707815424771334,0.3257915692325757,True,5.3829760251727965,abs_rms_delta,PT,6.475945479510605e-08,8.361394994347236e-08,0.5603645588530429,True
4,4.063581531883776e-08,5.3139143109249376e-08,0.5674106822996593,0.3219548823877649,True,10.847886075147827,abs_rms_delta,PT,4.2127237553757295e-08,5.968025320115617e-08,0.56687152435885,True
5,2.778565613692682e-08,4.294146857525054e-08,0.5730386952598954,0.32837334626516324,True,15.660922265771337,abs_rms_delta,PT,1.3980294980842202e-08,4.438874335309837e-08,0.5829475567849619,True
6,6.782609496030673e-08,7.438991060162673e-08,0.5596560018787397,0.31321484043889586,True,17.744188445266225,abs_rms_delta,PT,6.639931319040452e-08,8.361394994347236e-08,0.5599817961762308,True
7,3.4280348773880116e-08,4.8563827429663496e-08,0.569941784997165,0.3248336382857546,True,21.72017322133095,abs_rms_delta,PT,2.935803123166319e-08,4.6567037377537214e-08,0.5722302018342207,True
8,2.222658772078497e-08,3.977389381614153e-08,0.5762952365654123,0.3321161996879845,True,22.76396351766526,abs_rms_delta,PT,3.013161242075937e-08,4.6567037377537214e-08,0.5718474391574085,True
9,2.724652185280031e-08,4.294146857525054e-08,0.5733259587064525,0.3287026549266729,True,28.093376283925636,abs_rms_delta,PT,2.6448487941556076e-08,4.6567037377537214e-08,0.5737612525414695,True
10,5.803818722186676e-09,2.1550499937833865e-08,0.5951653761479542,0.3542218249653358,True,27.741431523794013,abs_rms_delta,PT,1.82777178512758e-08,4.438874335309837e-08,0.57911993001684,True
11,2.7430962751003877e-09,1.865305467068264e-08,0.60519281245331,0.3662583402451473,True,33.984950911414664,abs_rms_delta,PT,4.240594132152369e-09,2.966999674158222e-08,0.599406351887886,True
12,8.718647809899336e-09,2.1550499937833865e-08,0.5895726631645924,0.34759592515098997,True,36.3357107723019,abs_rms_delta,PT,1.3607963226842466e-08,4.438874335309837e-08,0.5833303194617742,True
13,7.122426292176713e-09,2.1550499937833865e-08,0.5923650384259899,0.35089633874942444,True,39.756249761235544,abs_rms_delta,PT,8.320756399731683e-09,4.0415102512982464e-08,0.5902200476443936,True
14,1.014141173545123e-08,2.1550499937833865e-08,0.5874678432655187,0.34511846687104003,True,44.3449123708009,abs_rms_delta,PT,1.4754261168062715e-08,4.438874335309837e-08,0.5821820314313376,True
15,9.982039825779895e-09,2.1550499937833865e-08,0.5876891040346266,0.34537848300102214,True,44.460736771352856,abs_rms_delta,PT,1.687164148744085e-08,4.438874335309837e-08,0.5802682180472767,True
16,1.177138752112359e-08,2.223484309545567e-08,0.5853777328150196,0.3426670900756525,True,41.43846201158764,abs_rms_delta,PT,2.78671655003189e-08,4.6567037377537214e-08,0.5729957271878451,True
17,9.463788732942023e-09,2.1550499937833865e-08,0.5884326246642296,0.34625295376923415,True,42.85754177721814,abs_rms_delta,PT,2.5765177136378432e-08,4.6567037377537214e-08,0.5741440152182816,True
18,9.250548777924056e-09,2.1550499937833865e-08,0.5887498799682673,0.3466264211626492,True,40.94360020806331,abs_rms_delta,PT,4.002471488693822e-08,5.91669698328652e-08,0.5676370497124744,True
19,5.15073292640854e-09,2.1550499937833865e-08,0.5967859470051754,0.356153466542864,True,40.12041745154575,abs_rms_delta,PT,2.0326708150127223e-08,4.6073871806955036e-08,0.5775888793095914,True
20,6.192592876309785e-09,2.1550499937833865e-08,0.5942814131657712,0.35317039803430605,True,38.18544193964182,abs_rms_delta,PT,1.7328478776479816e-08,4.438874335309837e-08,0.5798854553704644,True
21,7.352524713441069e-09,2.1550499937833865e-08,0.5919277332362061,0.35037844137415314,True,38.93649159126676,abs_rms_delta,PT,2.935803123166319e-08,4.6567037377537214e-08,0.5722302018342207,True
22,1.07940520911516e-08,2.15881041823032e-08,0.5865950286234484,0.3440937276057442,True,37.03851449134799,abs_rms_delta,PT,1.515637848801685e-08,4.438874335309837e-08,0.5817992687545254,True
23,9.858265335280233e-10,9.79768648197382e-09,0.6183459954889438,0.38235177013721283,True,42.455723196088975,abs_rms_delta,PT,2.1781523221408828e-09,2.966999674158222e-08,0.6082098934545663,True
24,1.0960185195947309e-09,9.79768648197382e-09,0.6170118701796578,0.3807036479425988,True,40.35588121935472,abs_rms_delta,PT,4.363234814938562e-09,2.966999674158222e-08,0.5990235892110739,True
25,1.1526689978792731e-09,9.79768648197382e-09,0.6163751319473584,0.3799183032831234,True,38.899897088323996,abs_rms_delta,PT,2.6735085531195414e-09,2.966999674158222e-08,0.6055305547168811,True
26,1.1077867368373813e-09,9.79768648197382e-09,0.6168770505453889,0.38053729548957826,True,37.64723871722581,abs_rms_delta,PT,1.6199765230430178e-09,2.966999674158222e-08,0.6120375202226882,True
27,3.7063908766106298e-09,2.1002881634126903e-08,0.6012072406642479,0.3614501462271189,True,34.57098634753839,abs_rms_delta,PT,6.850578344126068e-09,3.8819943950047716e-08,0.5928993863820788,True
28,3.730708197649202e-08,5.073763148802915e-08,0.5686852584132347,0.3234029231365275,True,29.947163490346693,abs_rms_delta,PT,1.385846669296209e-07,1.427842022911246e-07,0.5484989158718651,True
29,4.8017591477273584e-08,5.872623449259895e-08,0.5649057899285994,0.3191185514948549,True,29.63750001796048,abs_rms_delta,PT,1.3206355624682777e-07,1.403175285122545e-07,0.5492644412254895,True
30,6.262743710954351e-08,7.097776205748265e-08,0.5608761995899932,0.3145821112665139,True,30.05207546991909,abs_rms_delta,PT,8.304138973611452e-08,1.008359732509962e-07,0.5565369320849209,True
31,2.347512110546337e-07,2.4942316174554834e-07,0.5400011608650851,0.2916012537356395,True,20.996964205735505,abs_rms_delta,PT,1.0109190856260888e-07,1.1457082970429006e-07,0.5534748306704235,True
32,6.057663891936634e-07,6.241229464419563e-07,0.5241034019159625,0.2746843758998849,True,19.639601752894364,abs_rms_delta,PT,5.857663384902149e-08,7.966422203466923e-08,0.5618956095602916,True
33,0.0005413500284248498,0.0005413500284248498,0.3782515720835902,0.14307425178370745,True,15.2265516093006,abs_rms_delta,PT,0.00010731446690298056,0.00010731446690298056,0.4195078937861578,True
0,7.632307786671003e-08,8.370918217639166e-08,-0.5578409510511195,0.31118652666961755,True,-2.9511632501872405,signed_rms_delta,PT,1.1988407415976446e-07,1.2737682879474973e-07,-0.5507954919327382,True
1,7.357941987324824e-08,8.339000918968134e-08,-0.5584051021886904,0.3118162581503618,True,-3.3665760966858387,signed_rms_delta,PT,1.3528685913470003e-07,1.3938646092666064e-07,-0.5488816785486773,True
2,3.373940522895822e-08,4.588559111138318e-08,-0.5701774122673936,0.3251022814599413,True,-4.784346354504804,signed_rms_delta,PT,2.3196195349518257e-08,3.114212875074427e-08,-0.5756750659255303,True
3,4.200907989226938e-08,5.101102558346996e-08,-0.5669135719603984,0.3213909980728978,True,-6.162252560045004,signed_rms_delta,PT,8.724297895299195e-08,9.568584788392665e-08,-0.5557714067312965,True
4,5.8117250110899884e-08,6.813746564726192e-08,-0.5620154153495377,0.31586132709051334,True,-12.420490831601008,signed_rms_delta,PT,4.908288364263365e-08,5.754544978791531e-08,-0.5645749482979769,True
5,3.690696147500002e-08,4.826294962115388e-08,-0.5688456843959063,0.32358541265584706,True,-17.794473559619796,signed_rms_delta,PT,1.3607963226842466e-08,1.9277947904693493e-08,-0.5833303194617742,True
6,7.952476002707641e-08,8.449505752876868e-08,-0.5572064690710912,0.3104790491746729,True,-19.983530157161226,signed_rms_delta,PT,6.315810436700831e-08,7.157918494927609e-08,-0.5607473215298552,True
7,4.033864146154836e-08,5.0796807766394236e-08,-0.5675203560214949,0.3220793544987643,True,-24.821213460978232,signed_rms_delta,PT,2.5765177136378432e-08,3.2445037875439506e-08,-0.5741440152182816,True
8,2.8168675626778816e-08,4.1640650926542596e-08,-0.5728378167638799,0.32814316431480844,True,-25.558614819858164,signed_rms_delta,PT,2.7149014023374855e-08,3.296665988552661e-08,-0.5733784898646572,True
9,3.2213324681580204e-08,4.563554329890529e-08,-0.5708620447083798,0.32588347408863216,True,-31.835477690844915,signed_rms_delta,PT,2.3814569044686795e-08,3.114212875074427e-08,-0.5752923032487183,True
10,7.687719132746263e-09,1.9125987755359453e-08,-0.591313487327973,0.34965164029596885,True,-33.2110471257383,signed_rms_delta,PT,9.550038547047166e-09,1.803896169997798e-08,-0.5883062342603326,True
11,4.87438134511214e-09,1.8593397205166326e-08,-0.5975315403523072,0.3570439417158009,True,-38.71039141451689,signed_rms_delta,PT,3.892093261532818e-09,1.401223656339518e-08,-0.6005546399183226,True
12,1.2828253781227515e-08,2.2955822555880817e-08,-0.5841652794155153,0.3412490736746071,True,-40.99723941435526,signed_rms_delta,PT,1.2546789827482454e-08,1.9277947904693493e-08,-0.5844786074922106,True
13,1.251100192594626e-08,2.2955822555880817e-08,-0.5845189256062063,0.3416623743918338,True,-44.61797760477052,signed_rms_delta,PT,7.447459750745704e-09,1.582585197033462e-08,-0.5917510983516423,True
14,1.3606635822822463e-08,2.3131280898798188e-08,-0.5833317018104757,0.3402758743371057,True,-50.158269171861235,signed_rms_delta,PT,1.1883643822841623e-08,1.9240185236981675e-08,-0.585244132845835,True
15,1.2757038663828936e-08,2.2955822555880817e-08,-0.5842439333321383,0.34134097363540805,True,-50.89209330455399,signed_rms_delta,PT,1.1564723442974778e-08,1.9240185236981675e-08,-0.5856268955226472,True
16,1.4337892948309382e-08,2.3213731440119953e-08,-0.582588971643767,0.33940990988094194,True,-49.699168482068444,signed_rms_delta,PT,1.3245086219012395e-08,1.9277947904693493e-08,-0.5837130821385863,True
17,1.1731826494577512e-08,2.2955822555880817e-08,-0.5854251050520405,0.34272255362519266,True,-54.42266835173871,signed_rms_delta,PT,9.038883845239591e-09,1.803896169997798e-08,-0.589071759613957,True
18,9.081057888285633e-09,2.0583731213447437e-08,-0.5890070564800483,0.34692931258329074,True,-53.90406591020566,signed_rms_delta,PT,1.008866153407579e-08,1.8053394324135623e-08,-0.5875407089067082,True
19,6.2321037346883574e-09,1.9125987755359453e-08,-0.5941945595549136,0.3530671746046578,True,-52.90934333193416,signed_rms_delta,PT,5.4736973466152375e-09,1.5508809148743173e-08,-0.5959614877965764,True
20,5.468646236813625e-09,1.8593397205166326e-08,-0.5959740211144944,0.3551850338433798,True,-51.33232839972019,signed_rms_delta,PT,4.121246048057406e-09,1.401223656339518e-08,-0.5997891145646983,True
21,7.456815458166875e-09,1.9125987755359453e-08,-0.5917338075802405,0.3501488990334091,True,-50.634936350325944,signed_rms_delta,PT,7.044280550375189e-09,1.582585197033462e-08,-0.5925166237052667,True
22,7.875406722795068e-09,1.9125987755359453e-08,-0.5909806073064963,0.34925807821235516,True,-49.950102203133866,signed_rms_delta,PT,2.7525017415251176e-09,1.3369294173121998e-08,-0.6051477920400689,True
23,1.1168275240511788e-09,7.594427163548015e-09,-0.616774403428352,0.3804106647243995,True,-55.350788769771526,signed_rms_delta,PT,4.195242517047245e-10,2.8527649115921268e-09,-0.6288790780024245,True
24,7.850520783334498e-10,6.6729426658343234e-09,-0.6211922792556872,0.3858798478068757,True,-53.6004683860177,signed_rms_delta,PT,3.358379896454547e-10,2.8527649115921268e-09,-0.6315584167401098,True
25,6.837926251173851e-10,6.6729426658343234e-09,-0.6229044140583637,0.38800990905339344,True,-51.41980087678568,signed_rms_delta,PT,1.7573411819305673e-10,1.9916533395213096e-09,-0.6392136702763536,True
26,3.756971821205355e-10,6.6729426658343234e-09,-0.6302110263714388,0.3971659377601423,True,-50.84966675099844,signed_rms_delta,PT,6.881028719166864e-11,1.9916533395213096e-09,-0.6499310252270949,True
27,7.604908521244424e-10,6.6729426658343234e-09,-0.621587288985767,0.3863707578286754,True,-47.66534062283661,signed_rms_delta,PT,1.592163745384727e-10,1.9916533395213096e-09,-0.6403619583067902,True
28,5.074520697198022e-09,1.8593397205166326e-08,-0.5969876825829733,0.3563942931557889,True,-42.55743828111991,signed_rms_delta,PT,4.6187408863170165e-09,1.4276108194070779e-08,-0.5982580638574495,True
29,5.065515339831291e-09,1.8593397205166326e-08,-0.597011710582506,0.3564229825726499,True,-42.33767044657274,signed_rms_delta,PT,4.005106450297024e-09,1.401223656339518e-08,-0.6001718772415103,True
30,4.936953559107247e-09,1.8593397205166326e-08,-0.5973592533904029,0.3568380776111395,True,-42.45741978315424,signed_rms_delta,PT,1.8793719200201147e-09,1.0649774213447318e-08,-0.6101237068386274,True
31,2.658819359305177e-08,4.109084464380728e-08,-0.5736841546642042,0.32911350931278255,True,-28.263789230782823,signed_rms_delta,PT,7.447459750745704e-09,1.582585197033462e-08,-0.5917510983516423,True
32,9.834147540560138e-08,1.0132152011486203e-07,-0.5539061202255021,0.3068119900232684,True,-24.276855635751136,signed_rms_delta,PT,6.661960128768834e-09,1.582585197033462e-08,-0.593282149058891,True
